ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,ChineseName,SubGroup
MonpaKalaktang,Monpa Kalaktang,kala1376,,,,27.104162,92.113017,Sino-Tibetan,,Tshanglic
MonpaBalemu,Monpa Balemu,kala1376,,,,26.964717,92.164581,Sino-Tibetan,,Tshanglic
MonpaTomko,Monpa Tomko,kala1376,,,,27.16536,92.23077,Sino-Tibetan,,Tshanglic
MonpaNamsu,Monpa Namsu,kala1376,,,,27.359505,92.34921,Sino-Tibetan,,Tshanglic
MonpaTembang,Monpa Tembang,tsha1245,,,,27.333876,92.40513,Sino-Tibetan,,Tshanglic
MonpaDirangDum,Monpa Dirang Dum,tsha1245,,,,27.334341,92.293734,Sino-Tibetan,,Tshanglic
MonpaSangti,Monpa Sangti,tsha1245,,,,27.402266,92.314934,Sino-Tibetan,,Tshanglic
MonpaDirang,Monpa Dirang,tsha1245,,,,27.34959,92.27914,Sino-Tibetan,,Tshanglic
MonpaTawangMonastery,Monpa Tawang Monastery,dakp1242,,,,27.586829,91.85796,Sino-Tibetan,,Takpa
MonpaZimithang,Monpa Zimithang,dakp1242,,,,27.335901,92.306528,Sino-Tibetan,,Takpa
MonpaChangprong,Monpa Changprong,dakp1242,,,,27.578928,91.876393,Sino-Tibetan,,Takpa
SartangKhoitam,Sartang Khoitam,khoi1252,,,,27.358518,92.438415,Sino-Tibetan,,Khobwa
ChugParchu,Chug Parchu,chug1252,,,,27.420054,92.234173,Sino-Tibetan,,Khobwa
SartangDarbuA,Sartang Darbu 1,sart1249,,,,27.329171,92.358727,Sino-Tibetan,,Khobwa
MijiNafra,Miji Nafra,miji1239,,,,27.373776,92.546071,Sino-Tibetan,,Khobwa
LishLish,Lish Lish,lish1235,,,,27.368692,92.249809,Sino-Tibetan,,Khobwa
SherdukpenRupa,Sherdukpen Rupa,sher1256,,,,27.203981,92.398629,Sino-Tibetan,,Khobwa
HrusoAkaJamiri,Hruso Aka Jamiri,hrus1242,,,,27.184929,92.599114,Sino-Tibetan,,Khobwa
SartangDarbuB,Sartang Darbu 2,sart1249,,,,27.329171,92.358727,Sino-Tibetan,,Khobwa
SartangKhoina,Sartang Khoina,khoi1253,,,,27.337381,92.529683,Sino-Tibetan,,Khobwa
BugunSingchung,Bugun Singchung,sing1271,,,,27.195773,92.473437,Sino-Tibetan,,Khobwa
BugunWangho,Bugun Wangho,wang1301,,,,27.231398,92.436886,Sino-Tibetan,,Khobwa
BugunBichom,Bugun Bichom,bich1234,,,,27.272159,92.574219,Sino-Tibetan,,Khobwa
BugunKaspi,Bugun Kaspi,kasp1234,,,,27.204143,92.549541,Sino-Tibetan,,Khobwa
BugunNamphri,Bugun Namphri,namp1239,,,,27.196633,92.504931,Sino-Tibetan,,Khobwa
NamreiNabolang,Namrei Nabolang,miji1239,,,,27.546333,92.797975,Sino-Tibetan,,Khobwa
NamreiBisai,Namrei Bisai,miji1239,,,,27.682796,92.700031,Sino-Tibetan,,Khobwa
DammaiRurang,Dammai Rurang,miji1239,,,,27.368455,92.500637,Sino-Tibetan,,Khobwa
DammaiDibin,Dammai Dibin,miji1239,,,,27.437363,92.531354,Sino-Tibetan,,Khobwa
SherdukpenShergaon,Sherdukpen Shergaon,sher1256,,,,27.104558,92.27076,Sino-Tibetan,,Khobwa
