Grapheme	IPA
$	NULL
1	l
^	NULL
^a	a
^b	b
^bh	bʱ
^d	d
^dh	dʱ
^dʒ	dʒ
^d̪	d̪
^e	e
^f	f
^g	g
^h	h
^hw	hʷ
^h̥	h̥
^i	i
^j	j
^k	k
^kh	kʰ
^khs	kʰ s
^l	l
^m	m
^n	n
^n̪	n̪
^o	o
^p	p
^p s	p s
^ph	pʰ
^pʃ	p ʃ
^r	r
^s	s
^sw	sʷ
^t	t
^th	tʰ
^ts	ts
^tʃ	tʃ
^tʃh	tʃʰ
^t̪	t̪
^t̪h	t̪ʰ
^u	u
^uː	uː
^v	v
^w	w
^y$	y
^z	z
^õ$	õ
^ă	ă
^ă h	ă h
^ŋ	ŋ
^ŋ̆	ŋ
^ŏ	ŏ
^ũ	ũ
^ŭ	ŭ
^ɕ	ɕ
^ə	ə
^ɬ	ɬ
^ɲ	ɲ
^ɹ	ɹ
^ɾ	ɾ
^ɾh	ɾ̥
^ɾ̆	ɾ
^ʃ	ʃ
^ʃh	ʃʰ
^ʋ	ʋ
^ʒ	ʒ
^ʔ	ʔ
^–$	NULL
_	+
_$	NULL
_||	NULL
_̃	̃
a	a
a$	a
aa	aː
b	b
d	d
d$	d
dw	dʷ
dʒ	dʒ
d̪	d̪
d̪h	d̪ʱ
e	e
e$	e
f	f
g	g
gh	gʱ
h	h
h$	h
h̥	h̥
h̥$	h̥
h̩	h̩/h
h̩$	h̩/h
i	i
i$	i
ii	iː
ii$	iː
iː	iː
j	j
j$	j
jʃ	j ʃ
k	k
k s	k s
k$	k
kh	kʰ
kw	kʷ
kʃ	k ʃ
kː	kː
l	l
l$	l
ll	lː
lː	lː
l̪	l̪
m	m
m s	m s
m ʃ	m ʃ
m$	m
mh	m̥
mm	mː
mɕ	m ɕ
mː	mː
n	n
n s	n s
n$	n
nn	nː
n̪	n̪
o	o
o$	o
oo	oː
oo$	oː
oː	oː
p	p
p ʃ	p ʃ
p$	p
ph	pʰ
ph$	pʰ
ps	p s
pː	pː
r	r
r ʃ	r ʃ
r$	r
s	s
s$	s
t	t
t$	t
th	tʰ
ts	ts
tʃ	tʃ
tʃ$	tʃ
tʃh	tʃʰ
tʃh$	tʃʰ
tʃː	tʃː
tː	tː
t̪	t̪
t̪$	t̪
t̪h	t̪ʰ
t̪ː	t̪ː
u	u
u$	u
uː	uː
v	v
w	w
w$	w
w̆	w
x	x
y	y
y$	y
yː	yː
yː$	yː
y̆	y̆
z	z
ã	ã
ã$	ã
æ	æ
æ$	æ
õ	õ
õ$	õ
õː	õː
õː$	õː
ă	ă
ăs	ă s
ăw	ă w
ĕ	ĕ
ĕ h	ĕ h
ĕ$	ĕ
ĩ	ĩ
ĭ	ĭ
ĭ$	ĭ
ŋ	ŋ
ŋ h	ŋ̊
ŋ s	ŋ s
ŋ ʃ	ŋ ʃ
ŋ$	ŋ
ŋw	ŋʷ
ŋ̆	ŋ̆
ŏ	ŏ
ŏ$	ŏ
ŏh	ŏ h
ũ	ũ
ũ$	ũ
ŭ	ŭ
ŭ s	ŭ s
ɔ	ɔ
ɕ	ɕ
ə	ə
ə$	ə
əə$	əː
ə̃	ə̃
ə̃$	ə̃
ə̆	ə̆
ɛ	ɛ
ɛ$	ɛ
ɨ̃ 	ɨ̃
ɨ̃$	ɨ̃
ɬ	ɬ
ɲ	ɲ
ɸ	ɸ
ɹ	NULL
ɾ	ɾ
ɾ$	ɾ
ʃ	ʃ
ʃ$	ʃ
ʋ	ʋ
ʋ$	ʋ
ʒ	ʒ
ʔ	ʔ
ʔ$	ʔ
ʔw	ʔʷ
ẽ	ẽ
ẽ$	ẽ
–	NULL
